Year,Rich...Population..million.,Middle...Population..million.,Poor...Population..million.,Rich...Output...trill.,Middle...Output...trill.,Poor...Output...trill.,Rich...emission.intensity.of.GDP..Mt.C..trill.,Middle...emission.intensity.of.GDP..Mt.C..trill.,Poor...emission.intensity.of.GDP..Mt.C..trill.,Rich.consumption.trillions,Middle.consumption.trillions,Poor.consumption.trillions,Rich.per.capita.consumption.dollars,Middle.per.capita.consumption.dollars,Poor.per.capita.consumption.dollars,Rich.emissions.MtC,Middle.emissions.MtC,Poor.emissions.MtC,Global.emissions.MtC,atmospheric.carbon,temp.increase,Rich.damages,Middle.damages,Poor.damages,Rich.damages.trillions,Middle.damages.trillions,Poor.damages.trillions,extra.ton.emissions,temp.increase_extra.ton.emissions,Rich.damages_extra.ton.emissions,Middle.damages_extra.ton.emissions,Poor.damages_extra.ton.emissions,Rich.damages_extra.ton.emissions_trillions,Middle.damages_extra.ton.emissions_trillions,Poor.damages_extra.ton.emissions_trillions,Rich.marginal.damages,Middle.marginal.damages,Poor.marginal.damages,Rich_conversion.factor,Middle_conversion.factor,Poor_conversion.factor,Rich_utility.loss,Middle_utility.loss,Poor_utility.loss
2030,1133.26063916858,2805.3068158105,3905.49004747599,55.3615274004929,14.7913160624197,5.9764549811063,65.3289748561758,364.213863971655,412.287374305899,43.1819913723845,11.5372265286874,4.66163488526291,38104.2011695255,4112.64338847516,1193.61074502689,3616.71183154629,5387.20237631989,2464.01693181773,11467.9311396839,431.934365479806,1.19132270553472,0.0632011949968564,0.057749071988675,0.0506467211721042,3.49891468856236,0.85418477609592,0.302687849025724,11467.9311396839,1.19132270553572,0.0632011949969078,0.0577490719887214,0.0506467211721449,3.49891468856521,0.854184776096606,0.302687849025967,2.8475000135586,0.686006806915884,0.243027820090447,2.12950316171368e-05,0.000197301368488368,0.000679811380746668,6.0637602818528e-05,0.00013535008179684,0.000165213077935539
2031,1134.84609259202,2813.03869498264,3927.46470138932,56.50865852268,15.2065116016027,6.15052682683385,64.3840958229089,360.031197937997,412.492953431888,44.0767536476904,11.8610790492501,4.7974109249304,38839.4108552797,4216.4649460406,1221.50325710969,3638.25888514827,5474.81858838307,2537.04897596275,11650.1264494941,435.00692567889,1.21157289974605,0.0642435987673157,0.0586889863217973,0.0514708161216516,3.63031958501031,0.892454751388711,0.31657263535525,11650.1264494941,1.21157289974708,0.0642435987673686,0.058688986321845,0.0514708161216934,3.6303195850133,0.892454751389437,0.316572635355507,2.98960856071062,0.725197679685152,0.257238674805649,2.06850770620206e-05,0.000190537859763154,0.000657711063731362,6.18402834635756e-05,0.000138177613792414,0.000169188722439269
2032,1136.35438052013,2820.40422498987,3948.45808319153,57.6634307882965,15.6270931121657,6.32632046871632,63.4527177703412,355.894264739632,412.693012002736,44.9774760148713,12.1891326274892,4.93452996559873,39580.5012819013,4321.76796485014,1249.73593783479,3658.90139947938,5561.59281317197,2610.8282491291,11831.3224617805,438.12060223581,1.23190740913381,0.0652892699146235,0.0596314111913034,0.0522971044276095,3.7648032969403,0.931865615096335,0.330848242194981,11831.3224617805,1.23190740913486,0.0652892699146778,0.0596314111913523,0.0522971044276524,3.76480329694343,0.9318656150971,0.330848242195252,3.13216119707249,0.76483264166427,0.27139401836962,2.00968093615753e-05,0.000184054719079658,0.000636487888854414,6.29464464672894e-05,0.00014077105700447,0.000172739005799795
2033,1137.78915843857,2827.41979978069,3968.50840054742,58.8255118766884,16.052972700881,6.50378370392036,62.5346387445974,351.802563722689,412.887630087071,45.883899263817,12.5213187066872,5.07295128905788,40327.2424627292,4428.53187477093,1278.3017640477,3678.63213417473,5647.47695154029,2685.33184011059,12011.4409258256,441.274566089806,1.2523276015289,0.0663382652954614,0.0605763923605725,0.0531256261154035,3.90238241301707,0.97243117288213,0.345517581389927,12011.4409258256,1.25232760152998,0.0663382652955171,0.0605763923606226,0.0531256261154475,3.90238241302035,0.972431172882934,0.345517581390213,3.27338156580481,0.804356581340926,0.285771406538515,1.95293821081766e-05,0.00017783910101459,0.000616103450354257,6.39271193844635e-05,0.00014304605132084,0.000176064749580968
2034,1139.15391845441,2834.10117408509,3987.65292699921,59.9945756376638,16.4840629028278,6.68286581315015,61.6296618867252,347.755611816149,413.076900238006,46.7957689973777,12.8575690642057,5.21263533425712,41079.4083567476,4536.73608471526,1307.19383800027,3697.44541158678,5732.42537998878,2760.53749480261,12190.4082863782,444.467978684668,1.27283462169803,0.0673906299782611,0.0615239648396219,0.0539564117799328,4.0430722475006,1.0141649064477,0.360583459684365,12190.4082863782,1.27283462169914,0.067390629978318,0.0615239648396732,0.0539564117799777,4.04307224750401,1.01416490644854,0.360583459684665,3.41415784532728,0.844879721739744,0.300204305858642,1.89819784214517e-05,0.000171878731412414,0.000596520898680691,6.48074705474323e-05,0.000145216854768701,0.00017907814231861
2035,1140.45199562701,2840.46347876442,4005.92796468955,61.1703018620345,16.9202766336932,6.8635175045466,60.7375950486161,343.75294114064,413.260925001219,47.7128354523869,13.1978157742807,5.35354365354635,41836.7766774392,4646.35995954493,1336.40537242193,3715.33702349786,5816.39485774528,2836.42359269099,12368.1554739341,447.699993316873,1.29342939809011,0.0684463976455231,0.0624741532702162,0.0547894829236263,4.1868868053455,1.05707995578781,0.376048575111366,12368.1554739341,1.29342939809124,0.0684463976455813,0.0624741532702685,0.0547894829236721,4.18688680534905,1.05707995578869,0.376048575111681,3.5562663924793,0.8852918398361,0.314803738632463,1.84538108495465e-05,0.000166161892337716,0.000577704923440275,6.56266673374121e-05,0.000147101767378305,0.00018186366972538
2036,1141.68657415418,2846.52123687668,4023.36881563263,62.3523760686038,17.3615271454768,7.04569085721957,59.8582504513596,339.794096944329,413.439814765301,48.6348533335109,13.5419911734719,5.49563886863126,42599.1287228215,4757.38280046376,1365.9296774579,3732.30414295185,5899.34443797176,2912.96912290244,12544.617703826,450.969756474319,1.31411264970718,0.0695055910010554,0.0634269723148078,0.0556248522978473,4.33383874896837,1.10118910159894,0.391915513269132,12544.617703826,1.31411264970834,0.0695055910011147,0.0634269723148611,0.0556248522978941,4.33383874897206,1.10118910159987,0.391915513269461,3.69659858279192,0.92548191332753,0.329347660255053,1.79441210897227e-05,0.000160677405241486,0.000559621726311419,6.63322125897154e-05,0.000148704032431394,0.000184310106188559
2037,1142.86069340504,2852.28838029576,4040.0097606521,63.5404893075881,17.80772798592,7.22933926496416,58.9914443816129,335.878635826857,413.613685914112,49.5615816599187,13.8900278290176,5.63888462667204,43366.2492252269,4869.78382865245,1395.76014929278,3748.34524096905,5981.23538308656,2990.15366010544,12719.734284161,454.276409134893,1.33488489307601,0.070568222180859,0.0643824270481423,0.0564625242466236,4.48393936693837,1.14650474794666,0.408186743535107,12719.734284161,1.33488489307719,0.0705682221809194,0.0643824270481966,0.0564625242466711,4.48393936694221,1.14650474794762,0.408186743535451,3.83426623784544,0.966338120633736,0.344002604180105,1.7452179562589e-05,0.000155414612858508,0.000542238986274346,6.69163028736511e-05,0.000150183064908711,0.000186531623366355
2038,1143.97725379296,2857.77826674073,4055.88404516753,64.7343379801879,18.2587929618486,7.41441738060285,58.1369969219422,332.006124216046,413.782659244667,50.4927836245466,14.2418585102419,5.78324555687022,44137.9262193659,4983.54217190007,1425.89026029006,3763.46000789815,6062.03108412657,3067.95734049573,12893.4484325205,457.619088008375,1.35574644929575,0.0716342931663365,0.0653405133503128,0.0573024950516347,4.6371985448015,1.19303890528427,0.424864615262749,12893.4484325205,1.35574644929695,0.0716342931663979,0.0653405133503679,0.0573024950516831,4.63719854480547,1.19303890528527,0.424864615263108,3.97459842815806,1.00719432793994,0.358602036953926,1.697728486927e-05,0.000150363360260137,0.000525525819085518,6.74778897557921e-05,0.000151445123584,0.000188454629195947
2039,1145.03902248355,2863.00369708775,4071.0238710723,65.9336236738081,18.7146361065163,7.60088106130422,57.2947317114336,328.176137065697,413.946858617698,51.4282264655703,14.5974161630827,5.92868722781729,44913.9509272133,5098.63685399052,1456.31355049158,3777.64927915346,6141.69698402675,3146.36083805364,13065.7071012338,460.99692671375,1.37669745113671,0.0727037961985083,0.0663012183000612,0.0581447532774069,4.79362473820968,1.24080317390435,0.441951354000448,13065.7071012338,1.37669745113793,0.0727037961985706,0.0663012183001172,0.058144753277456,4.79362473821379,1.2408031739054,0.441951354000821,4.11048972637218,1.04805053524615,0.373145958576515,1.65187631564515e-05,0.00014551397540824,0.000509452732577188,6.79002062469694e-05,0.000152505999812401,0.00019010022824694
