year,population.growth.rate,per.capita.income.growth.rate,energy.intensity.growth.rate,emission.intensity.growth.rate,land.use.emissions,abatement.cost.function.coefficient,population,per.capita.income,energy.intensity,carbon.intensity,kaya.emissions,bau.emissions,carbon.cycle.from.bau.emissions,kaya.emissions.constant.population,kaya.emissions.constant.per.capita.output,kaya.emissions.constant.energy.intensity,kaya.emissions.constant.emission.intensity,total.emissions.constant.population,total.emissions.constant.per.capita.output,total.emissions.constant.energy.intensity,total.emissions.constant.emission.intensity,temp.increase.bau,temp.increase.constant.population,temp.increase.constant.per.capita.output,temp.increase.constant.energy.intensity,temp.increase.constant.emission.intensity,policy.cost.bau,emissions.control.rate.2030.mitigation,controlled.emissions.from.2030,temp.increase.carbon.mitigation.2030,policy.cost.carbon.mitigation.2030,emissions.control.rate.2010.mitigation,controlled.emissions.from.2010,temp.increase.carbon.mitigation.2010,policy.cost.carbon.mitigation.2010
2035,0.01012539070734,0.0114359003857771,-0.00709468927067025,-0.00175066376549571,1125,0.0345645335191537,9401423540.99488,11399.8289321294,4.49747793122669e-12,18.1272724596584,8737.6260920563,9862.6260920563,434.498077097156,6412.81820484906,6514.99441128942,11617.8455635568,8975.1283981724,7537.81820484906,7639.99441128942,12742.8455635568,10100.1283981724,1.27453519903179,1.26079325149115,1.26302531769507,1.28692280941325,1.27551608368799,0,0.0714285714285714,9158.15279976656,1.27421572003529,0.00228856974811305,0.277777777777778,7123.00773315177,1.25857029503108,0.102583060209104
2036,0.00912373047920179,0.0103599162641135,-0.00519093747204424,-0.00170668132214047,1112,0.0341791257211725,9496616627.55264,11530.1962402121,4.46556972280294e-12,18.095537700596,8848.18047204754,9960.18047204754,436.890491470952,6428.86278887956,6522.83208763673,11848.9067481478,9104.6269591701,7540.86278887956,7634.83208763673,12960.9067481478,10216.6269591701,1.29344788119274,1.27818074881172,1.28056431259472,1.3074493184528,1.29455419446417,0,0.0857142857142857,9106.45071730061,1.29294321273879,0.00385225957832519,0.288888888888889,7082.79500234492,1.27568950974767,0.115667913763238
2037,0.00811807093724326,0.0092625506654278,-0.00326875868605536,-0.00166355556498377,1099,0.0338645208981656,9583261198.12673,11649.6481077695,4.44238922959482e-12,18.0646543843883,8959.26529903077,10058.2652990308,439.301111077309,6450.71957084883,6537.00046020893,12060.2684094592,9234.69202998549,7549.71957084883,7636.00046020893,13159.2684094592,10333.6920299855,1.31235945640419,1.29546748815657,1.29800201504577,1.32809951021008,1.31360355810203,0,0.1,9052.43876912769,1.31161151861964,0.00599198983861551,0.3,7040.78570932154,1.29268481719387,0.129870520589745
2038,0.0071088342043597,0.00814583211011422,-0.00133051823935815,-0.0016212781271987,1086,0.0336193043506761,9661058792.34326,11757.5535636022,4.42786813121374e-12,18.0346028280576,9070.74486831379,10156.7448683138,441.729951877291,6478.3934076634,6557.59984112254,12250.3770900801,9365.1782109245,7564.3934076634,7643.59984112254,13336.3770900801,10451.1782109245,1.33127066375255,1.31265375200167,1.31533826406456,1.3488719685649,1.33266548225362,0,0.114285714285714,8995.97402622078,1.33021430304345,0.00879645864490284,0.311111111111111,6996.86868706061,1.30955359761881,0.1452425533166
2039,0.00609644275480203,0.00701186633397199,0.000621325077335921,-0.00157984768339114,1073,0.0334423901803116,9729737657.5366,11853.3286209569,4.42197677190369e-12,18.0053637209598,9182.47619819078,10255.4761981908,444.176973423569,6511.9007313048,6584.73667444145,12417.7964963713,9495.93184897896,7584.9007313048,7657.73667444145,13490.7964963713,10568.931848979,1.35018220259123,1.32974021022052,1.3325733518615,1.36976386545395,1.35174119807761,0,0.128571428571429,8936.91497270911,1.34874539784216,0.0123550150698621,0.322222222222222,6950.93386766264,1.32629324680731,0.161835626260668
2040,0.00508131950842139,0.00586282583118858,-0.000717725036249672,-0.00176251182746801,1060,0.0333330147200855,9789054446.18501,11936.4425768597,4.42472425696347e-12,17.9769179887966,9294.30896821697,10354.308968217,446.642075074902,6551.26930116219,6618.52354427598,12561.2274126388,9626.7910381553,7611.26930116219,7678.52354427598,13621.2274126388,10686.7910381553,1.3690947248192,1.34672790222287,1.34970800801254,1.39077098068942,1.3708318534068,0,0.142857142857143,8875.12197275741,1.36719878107543,0.016757751237806,0.333333333333333,6902.87264547798,1.34290116892435,0.179701101023684
2041,0.00527398833160042,0.00664346189866305,-0.00186426348362922,-0.00143564816384589,1047,0.0331736718780316,9838795759.51141,12006.4238607318,4.42154852158574e-12,17.9452334582199,9373.01094859189,10420.0109485919,449.109547942964,6573.34262506286,6635.66387353702,12676.6912539676,9725.44961697551,7620.34262506286,7682.66387353702,13723.6912539676,10772.4496169755,1.38800658251755,1.36361658823152,1.36674174171628,1.41188754620897,1.38993633222995,0,0.157142857142857,8782.58065667031,1.38556665080531,0.0220178124237256,0.344444444444444,6830.89606629913,1.35937323244498,0.198190520128157
2042,0.00546657397446904,0.00742718890763316,-0.00301693434014039,-0.00110674049648984,1034,0.0329882135146721,9890685453.54407,12086.1880801898,4.41330559013586e-12,17.9194704167559,9453.76733360828,10487.7673336083,451.58114098491,6595.19453007408,6648.66555133142,12809.792456098,9823.34542583288,7629.19453007408,7682.66555133142,13843.792456098,10857.3454258329,1.40691641990594,1.38040607146513,1.3836738381247,1.43310932070649,1.40905358315922,0,0.171428571428571,8689.86436213258,1.40384167399913,0.0282688090671366,0.355555555555556,6758.78339276978,1.37570558248621,0.217979397833748
2043,0.00565908464484721,0.00821398974873122,-0.00417573017047979,-0.000775589051675629,1021,0.0327769053657852,9944753617.23408,12175.9544822346,4.39999093694744e-12,17.89963821317,9536.5892779365,10557.5892779365,454.058304626407,6616.80203959275,6657.46648287271,12961.1184884905,9920.38443685004,7637.80203959275,7678.46648287271,13982.1184884905,10941.38443685,1.4258231205679,1.3970961866626,1.40050336948809,1.45443342944755,1.42818258046793,0,0.185714285714286,8596.89412631972,1.42201692214796,0.0355985136684724,0.366666666666667,6686.47320935978,1.39189459577918,0.23912500726167
2044,0.0058515283607905,0.00900399444088662,-0.00534063172020971,-0.000441942496169689,1008,0.0325400841089473,10001031819.7262,12275.9676475327,4.38161776204219e-12,17.8857554497429,9621.48974043948,10629.4897404395,456.542300885176,6638.14298421562,6662.01354890122,13131.3391017959,10016.4703397842,7646.14298421562,7670.01354890122,14139.3391017959,11024.4703397842,1.44472577240386,1.41368679244403,1.41722920499812,1.4758582567639,1.44732229902466,0,0.2,8503.59179235158,1.44008582441189,0.0440964068906975,0.377777777777778,6613.90472738457,1.40793684886611,0.26168640242438
2045,0.00604391288907813,0.00979733387951831,-0.00651161503955777,-0.000105545220696834,995,0.0322781585078769,10059553141.0565,12386.5003919875,4.3582171552364e-12,17.8778509743336,9708.48555077678,10703.4855507768,459.034271870803,6659.19741772194,6662.26331652028,13321.2140482468,10111.5061992065,7654.19741772194,7657.26331652028,14316.2140482468,11106.5061992065,1.46362364361525,1.43017776614179,1.43385001994696,1.49738337262955,1.46647169778894,0,0.214285714285714,8409.88150418176,1.45804213191125,0.0538538892880633,0.388888888888889,6541.01894769692,1.4238290946204,0.285724550150593
