year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy,damages_bau,net.output_bau,consumption.per.capita_bau,damages_0.1reduction,abatement.cost_0.1reduction,net.output_0.1reduction,consumption.per.capita_0.1reduction,percent.change.consumption.per.capita_0.1reduction,damages_0.2reduction,abatement.cost_0.2reduction,net.output_0.2reduction,consumption.per.capita_0.2reduction,percent.change.consumption.per.capita_0.2reduction,damages_0.3reduction,abatement.cost_0.3reduction,net.output_0.3reduction,consumption.per.capita_0.3reduction,percent.change.consumption.per.capita_0.3reduction,damages_0.4reduction,abatement.cost_0.4reduction,net.output_0.4reduction,consumption.per.capita_0.4reduction,percent.change.consumption.per.capita_0.4reduction,temp.increase_0.1reduction,temp.increase_0.2reduction,temp.increase_0.3reduction,temp.increase_0.4reduction,gross.output_0elasticity,temp.increase_0elasticity
2027,0.0335744975928923,0,0,0,159.07998073172,86.1218357392343,86.1218357392343,0,159.072516558394,86.1206234455256,86.1206234455256,0.0037452235534451,85.7992902115578,7924.64083213126,0.0035336039630198,6.36251518568993e-05,85.8120357642865,7925.81804382303,0.000148550794502726,0.00343199823479302,0.000443111294310601,85.7881041928973,7923.60766297558,-0.000130374256394324,0.00337796620398934,0.00137901295175866,85.712155961768,7916.59289103456,-0.00101555909815722,0.00334597525295672,0.00308600629491975,85.5679016808903,7903.2691984768,-0.00269685833177603,1.08529626723456,1.06957908150715,1.06112616340523,1.05608952476526,59979281.8968619,11.5609634228852
2028,0.0340066292751762,0,0,0,162.11878652118,88.5689505770707,88.5689505770707,0,162.111802060571,88.5678058318727,88.5678058318727,0.00386725818546179,88.2264315779738,8038.36519465983,0.00362265389710597,6.23780331800695e-05,88.2425711661623,8039.83568260352,0.000182933707051643,0.00350977122476233,0.00043442585537771,88.2196171808135,8037.74433068544,-7.72375923896791e-05,0.00345119122588332,0.00135198287391151,88.1435384876129,8030.81275350907,-0.000939549394419325,0.00341695224004852,0.00302551738487573,87.9983478032665,8017.58433972461,-0.0025852091105565,1.09888639041319,1.08163013160111,1.07256565080858,1.06723197104293,60960829.6762139,12.1591628088117
2029,0.0344594647220399,0,0,0,165.392076996017,91.1823168327536,91.1823168327536,0,165.385539137526,91.1812355016346,91.1812355016346,0.00399067467771783,90.8184378699135,8158.8524553818,0.003710281704772,6.10464995023145e-05,90.8384383895512,8160.64924128323,0.000220225321055804,0.00358582964898917,0.000425152516231972,90.8165861861539,8158.68610574022,-2.03888527816989e-05,0.00352272129053643,0.00132312318346304,90.7404615066031,8151.84729587699,-0.000858596174292754,0.0034862649670636,0.00296093409994006,90.5944462847422,8138.7297320943,-0.00246636685704807,1.11209737355024,1.09328703900808,1.08362374936082,1.07800200480079,61722090.8180408,12.745001942264
2030,0.0349340221509792,0,0,0,168.912978999621,93.9737686285037,93.9737686285037,0,168.906857034133,93.9727468394089,93.9727468394089,0.00411543380640053,93.5870258041751,8286.45184975054,0.00379641354714197,5.96354063151708e-05,93.6114011763313,8288.61011203056,0.00026045674543882,0.00366014695280374,0.000415325092480521,93.5907811614682,8286.78435938124,4.01269007200268e-05,0.00359254171547801,0.00129253911844445,93.5146991724852,8280.04785148472,-0.000772827548139825,0.0035539010096383,0.00289249194567946,93.3679767884323,8267.05664933584,-0.00234059169912279,1.12493163453637,1.10455827563235,1.09430978482299,1.08840877885077,62243884.9962211,13.3173724951809
2031,0.0354313863957597,0,0,0,172.69591019793,96.9562465869679,96.9562465869679,0,172.690175635389,96.955280713275,96.955280713275,0.0042414964876877,96.5450070076099,8421.54003247659,0.00388098316188619,5.84104953636637e-05,96.5742977641324,8424.09504061509,0.000303389656600766,0.00373270167798434,0.000406794317129945,96.5548965925198,8422.40269267834,0.00010243497013976,0.00366064103289596,0.00126599037132824,96.4785788976968,8415.7455641322,-0.000688053292158405,0.00361985072122571,0.00283308017538509,96.3305946277474,8402.83702031224,-0.00222085415401673,1.13739221641528,1.11545232648529,1.10463282480288,1.09846115410388,62500611.3003968,13.8802525461183
2032,0.0358804004006468,0,0,0,176.75669342727,99.8446295126868,99.8446295126868,0,176.751319828771,99.843718886928,99.843718886928,0.00436882380664664,99.408425918306,8550.88627777726,0.00396393141839627,5.7317419392263e-05,99.4431294122995,8553.87139325253,0.000349100125798794,0.00380347689910285,0.000399181693908918,99.4250166224992,8552.31337234711,0.000166894345625336,0.00372701069698661,0.00124229901849331,99.3484706252109,8545.72906008399,-0.000603120837506188,0.00368410703217062,0.00278006278791928,99.1992168718928,8532.8905923247,-0.00210454037955536,1.14948269791187,1.12597763434017,1.11460167728007,1.10816771176127,62244951.8093386,14.4276763681232
2033,0.0362817245912897,0,0,0,181.046842577334,102.621214150064,102.621214150064,0,181.041806001018,102.620357690042,102.620357690042,0.00449737704421397,102.159687857296,8673.89670723646,0.00404520588597118,5.63510579422824e-05,102.200307396574,8677.34552051478,0.000397608294717591,0.00387245973312552,0.000392451561871892,102.183543774729,8675.92220054022,0.000233515958527785,0.00379164482907649,0.00122135407900458,102.106774115584,8669.40405128152,-0.000517951286091147,0.00374666526330694,0.00273319142603215,101.956243389086,8656.62319808692,-0.00199143588315122,1.16120711416629,1.13614255753485,1.12422489284492,1.1175367649891,61449749.0450382,14.9581058384942
2034,0.0366360307402925,0,0,0,185.518825432615,105.268312774333,105.268312774333,0,185.514104092725,105.267509063049,105.267509063049,0.00462711770235331,104.781223900798,8789.98798798518,0.00412476041642385,5.55069159547238e-05,104.828263085308,8793.9340562922,0.000448927610870285,0.00393964091144545,0.000386572615609724,104.812899575638,8792.64522743126,0.000302302966706844,0.00385453999277714,0.0012030581268537,104.735907953589,8786.18648026457,-0.00043248156036141,0.00380752295259838,0.00269224806619121,104.584092845766,8773.45086863033,-0.00188135858404487,1.17256988653468,1.14595533819974,1.13351076936174,1.12657637004013,60066133.7546669,15.4691377567223
2035,0.0369439778230478,0,0,0,190.125971699706,107.76844632191,107.76844632191,0,190.121545677324,107.767693679695,107.767693679695,0.00475800752748466,107.255683243085,8898.59206585148,0.00420255474220221,5.47810938751007e-05,107.309639853385,8903.06863855887,0.000503065279795302,0.00400501440520363,0.000381517697047574,107.295716572509,8901.91347742438,0.000373251358004585,0.00391569499345855,0.00118732664301027,107.218501608601,8895.50724845427,-0.000346663536701268,0.00386667969369249,0.00265704356857765,107.065394801701,8882.8045647744,-0.00177415718804119,1.18357576045392,1.15542407874102,1.14246735817098,1.13529433682672,58044314.8756534,15.9576660767513
2036,0.0372062032246876,0,0,0,194.822432720556,110.104552672197,110.104552672197,0,194.818283719124,110.103849220323,110.103849220323,0.00489000853227579,109.566140470188,8999.16179819196,0.00427855409082771,5.41702636797589e-05,109.627499995292,9004.20153302159,0.00056002269351806,0.00406857709616978,0.000377263628482509,109.615045367957,9003.17857824705,0.000446350465206917,0.00397511069777334,0.00117408749581583,109.537602508471,8996.81784654985,-0.000260463329215478,0.00392413698545736,0.0026274165142927,109.383196804799,8984.13580897923,-0.00166970986295033,1.19422975048463,1.16455672484853,1.1511024712239,1.14369823896827,55331174.6266369,16.419488520414
