year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy
2065,0.0444922561694057,0,0,0,329.463021165356,173.284475925827,173.284475925827,0,329.46242135602,173.284381282994,173.284381282994
2066,0.0450214112564081,0,0,0,334.639303752502,176.950344795063,176.950344795063,0,334.638743102677,176.950255857001,176.950255857001
2067,0.0456258004125076,0,0,0,340.104449232166,181.071444609335,181.071444609335,0,340.103925080949,181.071360891934,181.071360891934
2068,0.0463062348314914,0,0,0,345.929722123003,185.677276183094,185.677276183094,0,345.92923196908,185.677197256233,185.677197256233
2069,0.0470640541303052,0,0,0,352.185750670983,190.801413366351,190.801413366351,0,352.185292168543,190.80133884634,190.80133884634
2070,0.0479011100311045,0,0,0,358.943486544482,196.481933729173,196.481933729173,0,358.943057497884,196.481863272449,196.481863272449
2071,0.0488197597017632,0,0,0,366.275163310452,202.761916134574,202.761916134574,0,366.274761668034,202.761849432412,202.761849432412
2072,0.0497438120681369,0,0,0,374.255268529013,209.233964182277,209.233964182277,0,374.254892376361,209.233901093836,209.233901093836
2073,0.050674908207865,0,0,0,382.861213796213,215.90220841765,215.90220841765,0,382.860861379369,215.902148797404,215.902148797404
2074,0.0516146263507084,0,0,0,392.073578268474,222.770797143725,222.770797143725,0,392.073247976861,222.770740843567,222.770740843567
2075,0.0525644740998743,0,0,0,401.875795813247,229.843885231716,229.843885231716,0,401.87548616476,229.843832102741,229.843832102741
2076,0.0535258858950611,0,0,0,412.253870982899,237.12563165784,237.12563165784,0,412.253580610887,237.125581551824,237.125581551824
2077,0.0545002228269678,0,0,0,423.196122849334,244.620196947853,244.620196947853,0,423.195850491199,244.620149718463,244.620149718463
2078,0.055488774359495,0,0,0,434.692953892929,252.331741092655,252.331741092655,0,434.692698380141,252.331696596419,252.331696596419
2079,0.0564927613220664,0,0,0,446.73664154402,260.264421329989,260.264421329989,0,446.736401793339,260.264379427057,260.264379427057
2080,0.0575133398338078,0,0,0,459.321150082215,268.422390101312,268.422390101312,0,459.320925087958,268.42235065603,268.42235065603
2081,0.0585516058772518,0,0,0,472.441960896282,276.809793434816,276.809793434816,0,472.441749723489,276.809756316158,276.809756316158
2082,0.0594999257670314,0,0,0,486.095919362314,284.883389852222,284.883389852222,0,486.095721140695,284.883355001042,284.883355001042
2083,0.0603580783792417,0,0,0,500.160673193571,292.597974447354,292.597974447354,0,500.160487126854,292.597941792196,292.597941792196
2084,0.0611259104525832,0,0,0,514.516160252632,299.909184785004,299.909184785004,0,514.515985608452,299.909154245205,299.909154245205
2085,0.0618033216853691,0,0,0,529.04456488007,306.773921634167,306.773921634167,0,529.044400981552,306.773893122507,306.773893122507
2086,0.0623902649446811,0,0,0,543.630371151579,313.150776312688,313.150776312688,0,543.630217370348,313.150749737619,313.150749737619
2087,0.062886756150989,0,0,0,558.160504825213,319.000451955619,319.000451955619,0,558.16036057559,319.00042722311,319.00042722311
2088,0.0632928907937102,0,0,0,572.524553772928,324.286173954415,324.286173954415,0,572.524418507115,324.28615096946,324.28615096946
2089,0.0636088642194297,0,0,0,586.615056665606,328.974082641854,328.974082641854,0,586.614929869685,328.974061309683,328.974061309683
2090,0.0638349936066131,0,0,0,600.327849180253,333.033602314439,333.033602314439,0,600.327730370846,333.03358254148,333.03358254148
2091,0.0639717401345116,0,0,0,613.562456771405,336.43778142372,336.43778142372,0,613.562345492887,336.437763118346,336.437763118346
2092,0.0641499797242448,0,0,0,626.222523007482,339.954237747453,339.954237747453,0,626.222418829635,339.954220781103,339.954220781103
2093,0.0643660556045846,0,0,0,638.390203011174,343.585283066872,343.585283066872,0,638.390105518514,343.585267325538,343.585267325538
2094,0.0646168974465624,0,0,0,650.139944984769,347.333367356643,347.333367356643,0,650.139853778281,347.333352738687,347.333352738687
2095,0.0648999220311746,0,0,0,661.539291304753,351.201102080966,351.201102080966,0,661.539206002964,351.20108849534,351.20108849534
2096,0.0652129524072529,0,0,0,672.64960463209,355.19126680191,355.19126680191,0,672.649524871642,355.191254166707,355.191254166707
2097,0.0655541534704287,0,0,0,683.526722865302,359.306815321383,359.306815321383,0,683.526648301154,359.306803562629,359.306803562629
2098,0.0659219804641505,0,0,0,694.221549949476,363.550883396529,363.550883396529,0,694.221480254817,363.550872447191,363.550872447191
2099,0.0663151372533113,0,0,0,704.780589301765,367.926796539045,367.926796539045,0,704.780524167717,367.926786338184,367.926786338184
2100,0.0667325423083114,0,0,0,715.246425610178,372.438078315801,372.438078315801,0,715.246364745346,372.438068807868,372.438068807868
2101,0.0671733008689523,0,0,0,725.658160278636,377.088459654902,377.088459654902,0,725.658103408542,377.088450789134,377.088450789134
2102,0.067620601304632,0,0,0,736.051805374851,381.785392456445,381.785392456445,0,736.051752241298,381.785384188434,381.785384188434
2103,0.0680740628369718,0,0,0,746.439411177784,386.529147842341,386.529147842341,0,746.439361538623,386.529140130938,386.529140130938
2104,0.068533349424827,0,0,0,756.831882585321,391.319997291575,391.319997291575,0,756.831836213567,391.319990098619,391.319990098619
2105,0.0689981642431745,0,0,0,767.239093730935,396.158211494489,396.158211494489,0,767.239050413907,396.158204784561,396.158204784561
2106,0.0694682450605058,0,0,0,777.669990886629,401.044060300927,401.044060300927,0,777.66995042512,401.044054041132,401.044054041132
2107,0.0699433602045174,0,0,0,788.13268506417,405.977812643148,405.977812643148,0,788.132647271657,405.977806802917,405.977806802917
2108,0.0704233050480911,0,0,0,798.634535339246,410.959736532289,410.959736532289,0,798.634500041133,410.959731083199,410.959731083199
2109,0.0709078989172204,0,0,0,809.182223842425,415.990098973769,415.990098973769,0,809.182190875324,415.990093889381,415.990093889381
2110,0.0713969823964392,0,0,0,819.781823232412,421.069166005224,421.069166005224,0,819.781792443455,421.069161260933,421.069161260933
2111,0.0718904149299911,0,0,0,830.43885743032,426.197202560704,426.197202560704,0,830.438828676515,426.197198133602,426.197198133602
2112,0.0723880727380825,0,0,0,841.158356250643,431.37447252071,431.37447252071,0,841.158329398256,431.374468389466,431.374468389466
2113,0.0728898469521102,0,0,0,851.944904580134,436.601238603177,436.601238603177,0,851.944879504113,436.60123474792,436.60123474792
2114,0.073395641988368,0,0,0,862.80268661482,441.877762390552,441.877762390552,0,862.802663198244,441.877758792766,441.877758792766
2115,0.0739053740909905,0,0,0,873.735525679259,447.20430424517,447.20430424517,0,873.735503812828,447.204300887599,447.204300887599
2116,0.0744189700515376,0,0,0,884.746920045271,452.581123283377,452.581123283377,0,884.746899626817,452.581120149936,452.581120149936
2117,0.0749363660637749,0,0,0,895.840075163087,458.0084773203,458.0084773203,0,895.840056097121,458.008474395992,458.008474395992
2118,0.0754575067246216,0,0,0,907.017932657244,463.486622879702,463.486622879702,0,907.017914854527,463.486620150543,463.486620150543
2119,0.0759823441273476,0,0,0,918.283196425054,469.015815110835,469.015815110835,0,918.283179802194,469.015812563782,469.015812563782
2120,0.0765108370712827,0,0,0,929.638356106932,474.596307799857,474.596307799857,0,929.638340586007,474.596305422747,474.596305422747
2121,0.0770429503514418,0,0,0,941.085708212208,480.228353333333,480.228353333333,0,941.085693720411,480.228351114819,480.228351114819
2122,0.0775786541140006,0,0,0,952.62737512432,485.912202585284,485.912202585284,0,952.62736159363,485.91220051478,485.91220051478
2123,0.0781179233049883,0,0,0,964.265322180651,491.648104951453,491.648104951453,0,964.265309547519,491.648103019084,491.648103019084
2124,0.0786607371603164,0,0,0,976.001373051905,497.436308261363,497.436308261363,0,976.001361256965,497.436306457913,497.436306457913
2125,0.0792070787689532,0,0,0,987.837223564215,503.277058806119,503.277058806119,0,987.83721255201,503.277057122991,503.277057122991
2126,0.079756934669228,0,0,0,999.77445414514,509.17060127249,509.17060127249,0,999.774443863867,509.170599701659,509.170599701659
2127,0.080310294496508,0,0,0,1011.81454101057,515.117178728514,515.117178728514,0,1011.81453141184,515.117177262494,515.117177262494
2128,0.0808671506605377,0,0,0,1023.95886622979,521.117032554535,521.117032554535,0,1023.95885726841,521.117031186337,521.117031186337
2129,0.0814274980644636,0,0,0,1036.20872676881,527.170402421257,527.170402421257,0,1036.20871840256,527.170401144361,527.170401144361
2130,0.0819913338536032,0,0,0,1048.5653426246,533.277526264542,533.277526264542,0,1048.56533481407,533.277525072861,533.277525072861
2131,0.0825586571849183,0,0,0,1061.02986414034,539.43864021898,539.43864021898,0,1061.02985684869,539.438639106834,539.438639106834
2132,0.0831294690326358,0,0,0,1073.60337857448,545.653978628559,545.653978628559,0,1073.60337176732,545.653977590647,545.653977590647
2133,0.0837037720079518,0,0,0,1086.28691601532,551.923774010908,551.923774010908,0,1086.28690966053,551.923773042281,551.923773042281
2134,0.0842815701926796,0,0,0,1099.08145469619,558.248256986355,558.248256986355,0,1099.08144876378,558.248256082394,558.248256082394
2135,0.0848628690029696,0,0,0,1111.98792576357,564.627656290913,564.627656290913,0,1111.98792022553,564.627655447308,564.627655447308
2136,0.0854476750541004,0,0,0,1125.00721757121,571.062198696802,571.062198696802,0,1125.00721240138,571.062197909529,571.062197909529
2137,0.0860359960421718,0,0,0,1138.14017952739,577.552108951875,577.552108951875,0,1138.14017470134,577.552108217179,577.552108217179
2138,0.0866278406495463,0,0,0,1151.38762554406,584.097609795572,584.097609795572,0,1151.38762103899,584.097609109946,584.097609109946
2139,0.0872232184537096,0,0,0,1164.75033714468,590.698921927271,590.698921927271,0,1164.75033293928,590.698921287444,590.698921287444
2140,0.0878221398520701,0,0,0,1178.22906625421,597.356264016969,597.356264016969,0,1178.22906232859,597.356263419887,597.356263419887
2141,0.0884246159774525,0,0,0,1191.82453771252,604.069852595189,604.069852595189,0,1191.8245340481,604.069852038002,604.069852038002
2142,0.0890306586280824,0,0,0,1205.53745151221,610.839901984291,610.839901984291,0,1205.53744809165,610.839901464337,610.839901464337
2143,0.0896402802231355,0,0,0,1219.36848479754,617.66662435638,617.66662435638,0,1219.36848160464,617.666623871176,617.666623871176
2144,0.0902534937423308,0,0,0,1233.31829367619,624.550229643145,624.550229643145,0,1233.31829069584,624.550229190372,624.550229190372
2145,0.0908703126782082,0,0,0,1247.38751483006,631.490925491814,631.490925491814,0,1247.38751204814,631.490925069308,631.490925069308
2146,0.0914907510042219,0,0,0,1261.57676695525,638.488917296527,638.488917296527,0,1261.57676435857,638.488916902269,638.488916902269
2147,0.092114823120569,0,0,0,1275.88665206496,645.544408046054,645.544408046054,0,1275.88664964121,645.544407678159,645.544407678159
2148,0.092742543852556,0,0,0,1290.3177566286,652.657598506987,652.657598506987,0,1290.31775436629,652.657598163696,652.657598163696
2149,0.0933739283980161,0,0,0,1304.87065263728,659.828687033939,659.828687033939,0,1304.87065052567,659.828686713609,659.828686713609
2150,0.0940089922979874,0,0,0,1319.54589852101,667.057869512854,667.057869512854,0,1319.5458965501,667.057869213952,667.057869213952
2151,0.0946477514134464,0,0,0,1334.34403996174,674.345339326072,674.345339326072,0,1334.34403812216,674.345339047167,674.345339047167
2152,0.0952902219206854,0,0,0,1349.2656106173,681.691287433041,681.691287433041,0,1349.26560890032,681.691287172799,681.691287172799
2153,0.0959364202878813,0,0,0,1364.31113279084,689.095902306089,689.095902306089,0,1364.3111311883,689.095902063263,689.095902063263
2154,0.0965863632541646,0,0,0,1379.4811180191,696.559369867448,696.559369867448,0,1379.48111652339,696.559369640874,696.559369640874
2155,0.0972400678134175,0,0,0,1394.77606758803,704.081873445599,704.081873445599,0,1394.77606619204,704.081873234191,704.081873234191
2156,0.0978975511944382,0,0,0,1410.19647298726,711.663593692718,711.663593692718,0,1410.19647168436,711.663593495464,711.663593495464
2157,0.0985588308624837,0,0,0,1425.74281630093,719.304708645073,719.304708645073,0,1425.74281508493,719.304708461027,719.304708461027
2158,0.0992239244997414,0,0,0,1441.41557057275,727.00539362483,727.00539362483,0,1441.41556943786,727.005393453109,727.005393453109
2159,0.0998928499925263,0,0,0,1457.21520011294,734.765821178964,734.765821178964,0,1457.21519905376,734.765821018744,734.765821018744
2160,0.100565625448408,0,0,0,1473.14216076102,742.586161230514,742.586161230514,0,1473.14215977251,742.586161081027,742.586161081027
2161,0.101242269156593,0,0,0,1489.19690015563,750.466580812166,750.466580812166,0,1489.19689923308,750.466580672693,750.466580672693
2162,0.10192279959722,0,0,0,1505.37985791874,758.407244144519,758.407244144519,0,1505.37985705777,758.407244014392,758.407244014392
2163,0.102607235435983,0,0,0,1521.69146583866,766.408312605824,766.408312605824,0,1521.69146503516,766.408312484417,766.408312484417
2164,0.10329559551425,0,0,0,1538.13214802808,774.469944663007,774.469944663007,0,1538.13214727821,774.469944549737,774.469944549737
2165,0.103987898845423,0,0,0,1554.70232105113,782.592295843202,782.592295843202,0,1554.70232035133,782.592295737525,782.592295737525
2166,0.104684164619247,0,0,0,1571.40239403152,790.775518761849,790.775518761849,0,1571.40239337845,790.775518663256,790.775518663256
2167,0.105384412187459,0,0,0,1588.23276875598,799.019763008903,799.019763008903,0,1588.23276814653,799.019762916921,799.019762916921
2168,0.106088661071835,0,0,0,1605.19383974234,807.325175197988,807.325175197988,0,1605.1938391736,807.325175112174,807.325175112174
2169,0.106796930952515,0,0,0,1622.28599431166,815.691898866362,815.691898866362,0,1622.28599378091,815.691898786304,815.691898786304
2170,0.107509241670523,0,0,0,1639.5096126311,824.120074477543,824.120074477543,0,1639.50961213581,824.120074402855,824.120074402855
2171,0.108225613225781,0,0,0,1656.86506775304,832.609839388884,832.609839388884,0,1656.86506729086,832.609839319206,832.609839319206
2172,0.108946065788512,0,0,0,1674.35272564329,841.161327920663,841.161327920663,0,1674.352725212,841.16132785566,841.16132785566
2173,0.109670619663577,0,0,0,1691.97294522151,849.774671063496,849.774671063496,0,1691.97294481904,849.774671002855,849.774671002855
2174,0.1103992953134,0,0,0,1709.72607833333,858.449996625789,858.449996625789,0,1709.72607795777,858.449996569218,858.449996569218
2175,0.111132113349615,0,0,0,1727.61246975767,867.187429145852,867.187429145852,0,1727.61246940722,867.187429093078,867.187429093078
